Time_s,Current_A,Voltage_V
4937.685292,0.000190588,3.551529169
4938.694299,0.000190588,3.551221371
4939.698518,0.000190588,3.551221371
4940.704434,0.000190588,3.550605774
4941.705492,2.76E-06,3.550605774
4942.710519,0.000190588,3.550297976
4943.717607,0.000190588,3.549990177
4944.725598,0.000378419,3.549990177
4945.726726,0.000190588,3.549682379
4946.735697,0.000378419,3.549682379
4947.744123,0.000190588,3.54937458
4948.748856,0.000190588,3.54937458
4949.748919,0.000190588,3.548758984
4950.752686,0.000378419,3.548758984
4951.760978,0.000378419,3.548451424
4952.762078,0.000190588,3.548143625
4953.771347,-0.480844796,3.472430706
4954.775165,-0.480656952,3.46535182
4955.780244,-0.480844796,3.459811926
4956.782353,-0.480656952,3.455195189
4957.790298,-0.480844796,3.450886488
4958.797485,-0.480844796,3.447193146
4959.804439,-0.480656952,3.443499804
4960.805455,-0.48103261,3.44011426
4961.814268,-0.480656952,3.436728716
4962.814595,-0.480656952,3.433958769
4963.823743,-0.480656952,3.430881023
4964.828766,-0.480656952,3.428111076
4965.833705,-0.480844796,3.425033331
4966.841725,-0.480656952,3.422570944
4967.850787,-0.480844796,3.419800997
4968.855804,-0.480844796,3.417338848
4969.858964,-0.480844796,3.415184498
4970.863972,-0.480844796,3.413029909
4971.87006,-0.480844796,3.41056776
4972.873048,-0.480844796,3.40841341
4973.877096,-0.480844796,3.406258821
4974.882215,-0.480844796,3.403796673
4975.886242,-0.480844796,3.401950121
4976.889264,-0.480844796,3.399795532
4977.894809,-0.480656952,3.398256779
4978.903319,-0.480656952,3.396409988
4979.906422,-0.480844796,3.394563437
4980.913515,-0.48103261,3.392409086
4981.919441,-0.962068021,3.314849615
4982.928559,-0.961880147,3.308694124
4983.928606,-0.962068021,3.304692984
4984.931725,-0.961880147,3.300999641
4985.937742,-0.962068021,3.296998501
4986.941774,-0.962068021,3.293612957
4987.947854,-0.961880147,3.289919615
4988.955956,-0.962068021,3.287149668
4989.958901,-0.962068021,3.283764124
4990.959962,-0.962255836,3.280994177
4991.963129,-0.962068021,3.278532028
4992.972089,-0.962068021,3.275454283
4993.973163,0.481413782,3.501669407
4994.976246,0.481038123,3.507824898
4995.978218,0.481225967,3.512133837
4996.984007,0.481038123,3.515211582
4997.992289,0.481225967,3.518904924
4998.999295,0.481038123,3.52198267
5000.00449,0.481225967,3.525060415
5001.010449,0.481225967,3.527830362
5002.019538,0.000190588,3.454272032
