Time_s,R0,R1,C1,R2,C2
10354.81066,0.001669913263000056,0.004939826526000112,16371.173473999888,0.002769913263000056,403.5786736999944
10355.82058,0.0016699822262927972,0.004939964452585595,16371.035547414405,0.0027699822262927973,403.57177737072027
10356.83059,0.0016700511957312692,0.004940102391462538,16370.897608537462,0.002770051195731269,403.56488042687306
10357.83184,0.0016701195669852865,0.004940239133970573,16370.760866029426,0.0027701195669852866,403.55804330147134
10358.83217,0.0016701878754162788,0.004940375750832557,16370.624249167442,0.0027701878754162784,403.5512124583721
10359.84186,0.0016702568230032638,0.0049405136460065275,16370.486353993472,0.0027702568230032636,403.5443176996736
10360.84187,0.0016703251095827691,0.004940650219165538,16370.349780834462,0.0027703251095827688,403.53748904172306
10361.84313,0.0016703934815196454,0.004940786963039291,16370.21303696071,0.0027703934815196452,403.53065184803546
10362.84313,0.0016704617674162918,0.0049409235348325834,16370.076465167416,0.0027704617674162916,403.52382325837084
10363.84318,0.001670530056727233,0.004941060113454466,16369.939886545533,0.002770530056727233,403.5169943272767
10364.84322,0.0016705983453553154,0.00494119669071063,16369.80330928937,0.002770598345355315,403.51016546446846
10365.85314,0.0016706673086480566,0.004941334617296113,16369.665382703886,0.0027706673086480564,403.50326913519433
10366.85318,0.0016707355972761387,0.004941471194552277,16369.528805447722,0.0027707355972761386,403.4964402723861
10367.85443,0.001670803968530156,0.004941607937060312,16369.392062939687,0.002770803968530156,403.4896031469844
10368.85444,0.0016708722551096614,0.004941744510219323,16369.255489780677,0.0027708722551096614,403.48277448903383
10369.85444,0.001670940541006308,0.004941881082012616,16369.118917987384,0.002770940541006308,403.4759458993692
10370.85446,0.0016710088282686723,0.004942017656537344,16368.982343462656,0.002771008828268672,403.46911717313276
10371.85446,0.0016710771141653187,0.004942154228330637,16368.845771669363,0.0027710771141653185,403.46228858346814
10372.85448,0.0016711454014276832,0.004942290802855366,16368.709197144633,0.002771145401427683,403.4554598572317
10373.85448,0.0016712136873243296,0.0049424273746486586,16368.57262535134,0.002771213687324329,403.44863126756707
10374.85586,0.0016712820674555135,0.004942564134911027,16368.435865088974,0.0027712820674555133,403.44179325444867
10375.86574,0.0016713510280168186,0.004942702056033637,16368.297943966363,0.0027713510280168185,403.43489719831814
10376.86575,0.0016714193145963242,0.004942838629192648,16368.161370807351,0.002771419314596324,403.4280685403676
10377.86587,0.001671487608687278,0.004942975217374556,16368.024782625444,0.002771487608687278,403.42123913127216
10378.87578,0.0016715565712971604,0.004943113142594321,16367.88685740568,0.0027715565712971603,403.414342870284
10379.87702,0.0016716249418683186,0.004943249883736637,16367.750116263363,0.0027716249418683185,403.40750581316814
10380.87717,0.0016716932380078495,0.004943386476015698,16367.6135239843,0.002771693238007849,403.400676199215
10381.88715,0.0016717622053977446,0.004943524410795489,16367.47558920451,0.0027717622053977445,403.3937794602255
10382.89705,0.0016718311673247677,0.004943662334649535,16367.337665350464,0.0027718311673247675,403.3868832675232
10383.89712,0.0016718994580014268,0.0049437989160028535,16367.201083997146,0.0027718994580014267,403.3800541998573
10384.90707,0.001671968423342745,0.00494393684668549,16367.06315331451,0.002771968423342745,403.3731576657255
10385.90832,0.0016720367945967623,0.004944073589193524,16366.926410806474,0.002772036794596762,403.3663205403237
10386.90834,0.0016721050818591266,0.0049442101637182535,16366.789836281747,0.0027721050818591267,403.35949181408733
10387.90834,0.0016721733677557732,0.004944346735511546,16366.653264488454,0.002772173367755773,403.35266322442266
10388.9096,0.0016722417396926492,0.004944483479385298,16366.516520614701,0.002772241739692649,403.34582603073505
10389.90962,0.0016723100269550137,0.004944620053910027,16366.379946089972,0.0027723100269550134,403.3389973044986
10390.90972,0.0016723783196802497,0.004944756639360499,16366.2433606395,0.0027723783196802495,403.332168031975
10391.91963,0.0016724472822901319,0.004944894564580264,16366.105435419737,0.0027724472822901317,403.3252717709868
10392.91973,0.001672515575015368,0.004945031150030736,16365.968849969264,0.002772515575015368,403.3184424984632
10393.91974,0.0016725838615948734,0.004945167723189747,16365.832276810253,0.0027725838615948735,403.3116138405126
