Step_Time_s,Current_A,Voltage_V
5.000014244,-0.049991097,3.497360468
10.00006352,-0.049994614,3.495821714
15.0000997,-0.049991097,3.494590521
20.01014677,-0.049991097,3.493359566
25.01018103,-0.049991097,3.492128372
30.01022068,-0.049994614,3.490897179
35.01025917,-0.049991097,3.489974022
40.01034964,-0.049991097,3.488742828
45.02034281,-0.049994614,3.487819433
50.02038323,-0.049991097,3.486588478
55.02042442,-0.049991097,3.485665083
60.02045598,-0.049987577,3.484741688
65.02050295,-0.049987577,3.483510733
70.02050872,-0.049994614,3.482895136
75.0205784,-0.049991097,3.481663942
80.02062383,-0.049991097,3.480740547
85.02065924,-0.049991097,3.47981739
90.02070467,-0.049994614,3.478893995
95.02074162,-0.049991097,3.4779706
100.0207794,-0.049994614,3.477047443
105.0207886,-0.049991097,3.476124048
110.0208606,-0.049991097,3.475508451
115.0209048,-0.049991097,3.474585056
120.0209441,-0.049991097,3.4736619
125.0209649,-0.049991097,3.472738504
130.021018,-0.049987577,3.471815109
135.02111,-0.049987577,3.470891714
140.0311105,-0.049987577,3.470276356
145.0311355,-0.049987577,3.469660759
150.0311802,-0.049991097,3.468737364
155.0312225,-0.049987577,3.468121767
160.0312687,-0.049991097,3.46719861
165.0313038,-0.049991097,3.465967417
170.0313434,-0.049991097,3.465659618
175.0313954,-0.049991097,3.464736223
180.0314216,-0.049987577,3.464120865
185.0315867,-0.049987577,3.463505268
190.0416134,-0.049991097,3.462889671
195.0515434,-0.049991097,3.461966276
200.0515842,-0.049991097,3.461043119
205.0516262,-0.049991097,3.460427523
210.0516743,-0.049987577,3.459811926
215.0517043,-0.049994614,3.459196329
220.0518163,-0.049994614,3.458272934
225.0617906,-0.049987577,3.457657576
230.061823,-0.049991097,3.457041979
235.061863,-0.049991097,3.456426382
240.061905,-0.049977019,3.455810785
245.0619362,-0.049991097,3.455195189
250.0619939,-0.049994614,3.454272032
255.0620274,-0.049987577,3.453656435
260.0623816,-0.049994614,3.45273304
265.0721141,-0.049994614,3.452425241
270.0721503,-0.050005171,3.451501846
275.0721903,-0.049994614,3.451194286
280.0821966,-0.049991097,3.450270891
285.0822647,-0.049994614,3.449655294
290.0823086,-0.049991097,3.449039698
295.0823579,-0.049991097,3.448731899
300.0923876,-0.049987577,3.447808743
305.0924292,-0.050001655,3.447500944
310.092433,-0.049994614,3.446269751
315.0925108,-0.049991097,3.446269751
320.0925216,-0.049994614,3.445346355
325.0925605,-0.049991097,3.445038557
330.092602,-0.049987577,3.444423199
335.0927849,-0.049991097,3.443807602
