Time_s,Current_A,Voltage_V
3.007810446,0,3.370857954
1.9248E-06,1.151194811,3.688785076
5.007662236,0.785170317,3.601378202
10.01515278,0.756315231,3.601070404
15.02671081,0.730363786,3.601070404
20.03429605,0.706408679,3.601070404
25.0418532,0.683360875,3.600762844
30.0493857,0.661401987,3.601070404
35.05709336,0.639987528,3.601070404
40.06464512,0.618754566,3.601070404
45.07228387,0.598247468,3.600762844
50.07961466,0.578103364,3.601070404
55.08724917,0.557777762,3.601070404
60.09488985,0.537815154,3.601070404
65.10246778,0.518215477,3.601070404
70.10999875,0.498797268,3.600762844
75.11757475,0.47974205,3.601070404
80.12514499,0.461049765,3.601070404
85.13272561,0.442357481,3.601070404
90.14028699,0.424391091,3.601070404
95.14786415,0.406606197,3.601070404
100.1554398,0.389184266,3.600762844
105.1630073,0.372306764,3.601070404
110.1705956,0.356155187,3.601070404
115.1781485,0.340366572,3.601070404
120.1857257,0.325122386,3.601070404
125.1932932,0.310422629,3.601070404
130.2008646,0.296267301,3.601070404
135.2084372,0.283019364,3.601070404
140.2160305,0.270315886,3.601070404
145.2235834,0.257612377,3.600762844
150.2312256,0.246179238,3.601070404
155.2387285,0.234927565,3.601070404
160.2462987,0.224401817,3.600762844
165.2538693,0.214239031,3.601070404
170.261443,0.204802141,3.601070404
175.2690152,0.195728213,3.601070404
180.2765854,0.187017247,3.601070404
185.2841587,0.179032207,3.601070404
190.2917374,0.17159158,3.600762844
195.2993015,0.164513916,3.601070404
200.3068729,0.157617733,3.600762844
205.3144435,0.151265994,3.601070404
210.3220191,0.145095721,3.601070404
215.3295331,0.139288411,3.601070404
220.3371673,0.13420701,3.601070404
225.3447675,0.128944144,3.601070404
230.3523466,0.12440718,3.600762844
235.3598776,0.119870216,3.601378202
240.3674513,0.115514733,3.600762844
245.37502,0.111522205,3.601070404
250.3825956,0.107529677,3.600762844
255.3901666,0.104081586,3.601070404
260.3977391,0.100452021,3.601070404
265.4053094,0.097185403,3.601070404
270.4128815,0.094463229,3.601070404
275.420456,0.091378093,3.600762844
280.428079,0.088655919,3.600762844
285.4355999,0.086115219,3.600762844
290.4431759,0.083574519,3.601070404
295.4507423,0.0812153,3.600762844
300.4583141,0.079037555,3.601070404
305.4658855,0.076859817,3.601378202
310.4735065,0.074863553,3.601070404
315.4810309,0.072867289,3.601070404
320.4886015,0.071052507,3.601070404
325.4961722,0.069419198,3.601070404
330.5037447,0.067604415,3.600762844
335.5113165,0.065971106,3.600762844
340.5188898,0.064519279,3.601070404
345.5264639,0.062885977,3.600762844
350.5340349,0.061615624,3.601070404
355.5416055,0.060163796,3.601070404
360.5492923,0.058893446,3.601378202
365.5567509,0.057804577,3.601070404
370.5644825,0.056534227,3.600762844
375.5718652,0.055445354,3.601070404
380.5794682,0.054175008,3.601070404
385.5870319,0.053086136,3.600762844
390.5946387,0.052178744,3.600762844
395.602182,0.051271353,3.601070404
400.6097549,0.050363958,3.601070404
405.617327,0.049456567,3.601070404
410.6249011,0.048367694,3.600762844
415.6324706,0.04764178,3.601070404
420.6400408,0.046734389,3.600762844
425.6476203,0.046189953,3.601378202
430.6551867,0.045282561,3.601070404
435.6626861,0.044556648,3.601070404
440.670329,0.043830734,3.601070404
445.6779012,0.04310482,3.601070404
450.685473,0.042560384,3.601070404
455.6930478,0.04183447,3.601070404
460.7006238,0.041471515,3.601378202
465.7082356,0.040745601,3.601070404
470.7157747,0.040201165,3.601070404
475.7233341,0.039656729,3.601378202
480.7309063,0.038930815,3.601070404
485.7384754,0.038386378,3.601070404
490.7460525,0.038023423,3.600762844
495.7536278,0.03729751,3.601070404
500.7611957,0.036934551,3.601070404
505.7687675,0.036571596,3.600762844
510.7763412,0.03602716,3.601070404
515.7839114,0.035664201,3.601070404
520.7914851,0.034938287,3.601070404
525.7990561,0.034575332,3.601070404
530.8066294,0.034393854,3.601070404
535.8142015,0.033849418,3.601070404
540.8217725,0.033486459,3.601070404
545.8293578,0.033123504,3.601070404
550.8369215,0.032579068,3.600762844
555.8444863,0.032397591,3.601070404
560.852065,0.031853154,3.600762844
565.8596326,0.031671677,3.600762844
570.8672055,0.031308718,3.601070404
575.8747753,0.031127241,3.601378202
580.8823456,0.030582804,3.601070404
585.8898958,0.030219847,3.601070404
590.8974956,0.03003837,3.601070404
595.9050632,0.029675413,3.601070404
600.9126384,0.029493934,3.601378202
605.9204146,0.029130977,3.601070404
610.9277781,0.029130977,3.601070404
615.9353491,0.02876802,3.601070404
620.9429217,0.028586542,3.601070404
625.9504707,0.028223585,3.601070404
630.9580868,0.027860628,3.600762844
635.9656785,0.02749767,3.601070404
640.9732091,0.027316192,3.601070404
645.980782,0.027316192,3.601070404
650.9884716,0.026953235,3.601070404
655.9959264,0.026771756,3.601070404
661.0034974,0.026408799,3.601070404
666.0110687,0.026227321,3.600762844
671.0186409,0.026045842,3.601070404
676.0262131,0.025864365,3.601070404
681.0337844,0.025501408,3.600762844
686.0414594,0.025138451,3.600762844
691.0489268,0.025138451,3.601070404
696.0566129,0.025138451,3.601070404
701.064162,0.024775494,3.601070404
706.0715748,0.024594015,3.601070404
711.0792605,0.024412537,3.601070404
716.0868138,0.024231058,3.601070404
721.0943686,0.02404958,3.600762844
